Street;Neighbourhood;City;Zipcode;Country;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews;Reviews per Month
La Latina, Madrid, Comunidad de Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;301.0;41.0;87.0;19.0;1;14;1;356;5.07
Cortes, Madrid, Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Essentials;431.0;67.0;;;2;5;1;2;0.04
Justicia, Madrid, Community of Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Doorman,Buzzer/wireless intercom,Heating,Washer,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;237.0;40.0;200.0;19.0;1;0;2;95;2.17
Malasaña, Madrid, Community of Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer;484.0;60.0;300.0;35.0;1;0;2;108;2.32
Malasaña, Madrid, Madrid 28015, Spain;Malasaña;Madrid;28015;Spain;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo;484.0;59.0;150.0;;2;15;2;212;3.68
Malasaña, Madrid, Madrid 28015, Spain;Malasaña;Madrid;28015;Spain;Apartment;Entire home/apt;5;;1.0;3.0;Real Bed;TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer;807.0;102.0;300.0;42.0;1;11;3;16;0.24
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;538.0;78.0;100.0;30.0;2;10;2;176;4.41
Sol, Madrid, Comunidad de Madrid 28012, Spain;Sol;Madrid;28012;Spain;Apartment;Entire home/apt;8;1.0;2.0;6.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials;883.0;145.0;300.0;50.0;1;28;3;126;1.92
Sol, Madrid, Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;205.0;57.0;100.0;50.0;1;0;3;36;1.85
Acacias, Madrid, Madrid 28005, Spain;Acacias;Madrid;28005;Spain;Other;Shared room;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Heating,24-hour check-in;86.0;34.0;;;1;0;1;17;0.51
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,Hangers,Hair dryer,Iron;807.0;90.0;250.0;35.0;3;0;2;131;2.67
Embajadores, Madrid, Comunidad de Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;431.0;50.0;100.0;20.0;1;0;2;146;2.36
Cortes, Madrid, Community of Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;6;1.0;2.0;5.0;Real Bed;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;538.0;60.0;150.0;30.0;2;30;2;12;0.33
Cortes, Madrid, Community of Madrid 28013, Spain;Cortes;Madrid;28013;Spain;Apartment;Private room;6;2.0;1.0;5.0;Real Bed;Cable TV,Internet,Air conditioning,Elevator in building,Heating,Family/kid friendly,Washer;1615.0;39.0;;25.0;1;20;7;14;0.45
Sol, Madrid, Madrid 28014, Spain;Sol;Madrid;28014;Spain;Apartment;Entire home/apt;8;2.0;4.0;5.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Shampoo,Hangers,Iron,Laptop friendly workspace;2153.0;250.0;300.0;70.0;8;25;1;24;0.43
Goya, Madrid, Madrid 28001, Spain;Goya;Madrid;28001;Spain;Apartment;Entire home/apt;4;1.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials;700.0;100.0;;;1;0;3;126;2.37
Fuente del Berro, Madrid, 28028, Spain;Fuente del Berro;Madrid;28028;Spain;Apartment;Entire home/apt;6;2.0;3.0;4.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;1711.0;180.0;150.0;;2;20;2;35;0.59
Retiro, Madrid, Community of Madrid 28014, Spain;Retiro;Madrid;28014;Spain;Apartment;Entire home/apt;6;1.0;3.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Outlet covers,Baby bath,High chair,Children’s books and toys,Table corner guards,Crib,Room-darkening shades;807.0;91.0;100.0;40.0;1;0;4;90;1.93
Arganzuela, Madrid, Madrid 28045, Spain;Arganzuela;Madrid;28045;Spain;Apartment;Private room;2;;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Essentials,translation missing: en.hosting_amenity_49;9.0;34.0;;;1;8;1;17;0.74
Ciudad Lineal, Madrid, Madrid 28033, Spain;Ciudad Lineal;Madrid;28033;Spain;Dorm;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Free parking on premises,Pets live on this property,Cat(s),Heating,Washer;1615.0;40.0;;;1;0;5;0;
Trafalgar, Madrid, Community of Madrid 28010, Spain;Trafalgar;Madrid;28010;Spain;House;Private room;9;2.0;6.0;9.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,Private living room,Private entrance;1292.0;23.0;88.0;20.0;1;22;4;14;0.3
San Blas, Madrid, Madrid 28037, Spain;San Blas;Madrid;28037;Spain;House;Private room;1;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;129.0;18.0;;;1;10;1;9;0.21
Madrid, Madrid 28022, Spain;;Madrid;28022;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly;398.0;65.0;;;1;0;1;20;1.9
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;377.0;65.0;90.0;15.0;2;0;1;144;3.75
Justicia, Madrid, Community of Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Apartment;Entire home/apt;5;1.0;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_50;861.0;70.0;100.0;15.0;1;10;2;228;5.23
Malasaña, Madrid, Community of Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;6;2.0;2.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials;1130.0;500.0;;;3;5;2;20;0.52
Sol, Madrid, Madrid 28013, Spain;Sol;Madrid;28013;Spain;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Air conditioning,Elevator in building,Heating,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;129.0;40.0;85.0;;1;0;2;43;0.77
Acacias, Madrid, Madrid 28005, Spain;Acacias;Madrid;28005;Spain;Other;Private room;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Washer,Smoke detector,First aid kit,Shampoo,24-hour check-in;8.0;35.0;;;1;0;1;199;5.8
Justicia, Madrid, Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;55.0;88.0;200.0;32.0;2;11;4;26;0.72
Palacio, Madrid, Madrid 28013, Spain;Palacio;Madrid;28013;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Pull-out Sofa;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;592.0;48.0;;45.0;1;10;2;17;2.51
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Entire home/apt;2;1.0;;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Heating,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;194.0;38.0;90.0;15.0;1;0;2;253;4.96
Argüelles, Madrid, Madrid 28008, Spain;Argüelles;Madrid;28008;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;35.0;75.0;200.0;32.0;2;11;4;16;0.44
Carabanchel, Madrid, Community of Madrid 28019, Spain;Carabanchel;Madrid;28019;Spain;Apartment;Entire home/apt;5;1.0;1.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;592.0;32.0;100.0;30.0;3;9;5;36;1.31
Sol, Madrid, Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;TV,Internet,Air conditioning,Kitchen,Washer / Dryer,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Dryer;807.0;102.0;300.0;52.0;1;11;3;2;0.09
Acacias, Madrid, Madrid 28005, Spain;Acacias;Madrid;28005;Spain;House;Private room;2;1.0;1.0;2.0;Real Bed;TV,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Heating,Washer;8.0;33.0;;;1;0;1;24;0.71
Sol, Madrid, Community of Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;71.0;75.0;200.0;33.0;2;0;4;14;0.44
Lista, Madrid, Madrid 28006, Spain;Lista;Madrid;28006;Spain;Apartment;Entire home/apt;9;2.0;4.0;8.0;Real Bed;TV,Internet,Wireless Internet,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo;1076.0;120.0;;20.0;8;20;1;40;1.25
La Latina, Madrid, Community of Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;6;2.0;2.0;2.0;Real Bed;TV,Cable TV,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;592.0;72.0;200.0;25.0;2;20;2;119;2.79
Embajadores, Madrid, Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;Apartment;Private room;1;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;861.0;30.0;200.0;;1;0;7;19;0.3
Cortes, Madrid, Madrid 28014, Spain;Cortes;Madrid;28014;Spain;Apartment;Entire home/apt;6;2.0;2.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;90.0;108.0;200.0;48.0;2;11;4;21;0.62
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets live on this property,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;753.0;105.0;300.0;;1;0;3;27;0.58
Cortes, Madrid, Community of Madrid 28012, Spain;Cortes;Madrid;28012;Spain;Apartment;Entire home/apt;2;2.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;43.0;60.0;150.0;30.0;2;15;2;38;0.75
Acacias, Madrid, Community of Madrid 28005, Spain;Acacias;Madrid;28005;Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer;538.0;60.0;100.0;;2;15;2;7;0.16
Malasaña, Madrid, Community of Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;Apartment;Entire home/apt;8;2.0;3.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;1184.0;120.0;;35.0;6;0;1;109;2.6
Recoletos, Madrid, Madrid 28001, Spain;Recoletos;Madrid;28001;Spain;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;323.0;61.0;100.0;25.0;1;0;1;135;2.33
Argüelles, Madrid, Madrid 28008, Spain;Argüelles;Madrid;28008;Spain;Apartment;Entire home/apt;4;1.5;2.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;1044.0;95.0;200.0;20.0;2;15;2;9;0.17
San Blas, Madrid, Madrid 28037, Spain;San Blas;Madrid;28037;Spain;House;Private room;2;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;151.0;20.0;;;1;10;1;8;0.16
Delicias, Madrid, Community of Madrid 28045, Spain;Delicias;Madrid;28045;Spain;Condominium;Private room;2;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials;129.0;30.0;;;1;50;1;20;0.65
Gaztambide, Madrid, Madrid 28015, Spain;Gaztambide;Madrid;28015;Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Breakfast,Elevator in building,Heating,First aid kit,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;269.0;39.0;;15.0;1;0;1;26;0.68
Rios Rosas, Madrid, Madrid 28003, Spain;Rios Rosas;Madrid;28003;Spain;Apartment;Entire home/apt;6;4.0;4.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Pool,Doorman,Elevator in building,Heating,Family/kid friendly,Washer;2153.0;197.0;300.0;62.0;1;12;3;10;0.24
San Blas, Madrid, Community of Madrid 28037, Spain;San Blas;Madrid;28037;Spain;House;Private room;1;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;151.0;20.0;;;1;10;1;5;0.2
Aluche, Madrid, Madrid 28047, Spain;Aluche;Madrid;28047;Spain;House;Private room;3;1.0;1.0;3.0;Real Bed;TV,Internet,Air conditioning,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;90.0;38.0;;;1;28;1;0;
Madrid, Community of Madrid 28004, Spain;;Madrid;28004;Spain;Apartment;Entire home/apt;8;1.0;2.0;6.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Pets allowed,Elevator in building,Hot tub,Heating,Family/kid friendly,Suitable for events,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;1184.0;95.0;250.0;25.0;1;0;1;2;0.06
La Latina, Madrid, Madrid 28005, Spain;La Latina;Madrid;28005;Spain;Apartment;Entire home/apt;6;1.0;2.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;85.0;113.0;200.0;48.0;2;11;5;7;0.19
Barajas, Madrid, Community of Madrid 28042, Spain;Barajas;Madrid;28042;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;398.0;42.0;200.0;30.0;2;15;7;1;1.0
Aluche, Madrid, Madrid 28011, Spain;Aluche;Madrid;28011;Spain;Apartment;Private room;8;2.0;1.0;8.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;215.0;20.0;;12.0;1;15;2;7;0.17
Carabanchel, Madrid, Community of Madrid 28019, Spain;Carabanchel;Madrid;28019;Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron;70.0;60.0;;;1;0;1;55;1.79
La Latina, Madrid, Madrid 28012, Spain;La Latina;Madrid;28012;Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;55.0;81.0;200.0;32.0;2;11;4;14;0.27
Justicia, Madrid, Comunidad de Madrid 28004, Spain;Justicia;Madrid;28004;Spain;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private entrance;807.0;90.0;200.0;60.0;2;15;2;80;1.54
Sol, Madrid, Community of Madrid 28013, Spain;Sol;Madrid;28013;Spain;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Doorman Entry;215.0;56.0;100.0;25.0;1;10;3;37;0.92
