Street;Neighbourhood;City;Zipcode;Country;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Number of Reviews;Reviews per Month
Recoletos, Madrid, Madrid 28009, Spain;Recoletos;Madrid;28009;Spain;40.42315163191458;-3.682789296209794;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;215.0;60.0;100.0;25.0;1;0;3;99;1.37
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.4224167120073;-3.705901774938931;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room,Private entrance;70.0;45.0;150.0;25.0;2;0;3;4;0.08
Sol, Madrid, Madrid 28012, Spain;Sol;Madrid;28012;Spain;40.41456492866132;-3.704373762758237;Loft;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;431.0;77.0;200.0;33.0;2;11;10;15;0.31
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;40.410481780130254;-3.697272430719789;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;377.0;65.0;90.0;15.0;2;0;1;144;3.75
La Latina, Madrid, Madrid 28005, Spain;La Latina;Madrid;28005;Spain;40.41290707469142;-3.706860317804612;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;700.0;115.0;200.0;45.0;2;0;3;7;0.15
Barajas, Madrid, Community of Madrid 28042, Spain;Barajas;Madrid;28042;Spain;40.47605969070511;-3.5761784784809745;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;398.0;42.0;200.0;30.0;2;15;7;1;1.0
Justicia, Madrid, Community of Madrid 28004, Spain;Justicia;Madrid;28004;Spain;40.42169898845397;-3.7003643723698247;Apartment;Entire home/apt;5;1.0;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_50;861.0;70.0;100.0;15.0;1;10;2;228;5.23
Madrid, Community of Madrid 28003, Spain;;Madrid;28003;Spain;40.422134010628696;-3.707163700162602;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Cable TV,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer;2691.0;35.0;;11.0;1;0;1;0;
Cuatro Caminos, Madrid, Madrid 28020, Spain;Cuatro Caminos;Madrid;28020;Spain;40.453185713852776;-3.694716419741397;Apartment;Private room;2;0.0;1.0;2.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Heating,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;16.0;40.0;;;1;20;1;108;1.79
Malasaña, Madrid, Community of Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.42308320165876;-3.70569063798506;Apartment;Entire home/apt;5;2.5;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo;1076.0;73.0;;;2;10;2;343;8.31
Sol, Madrid, Community of Madrid 28013, Spain;Sol;Madrid;28013;Spain;40.41916670318505;-3.706242493034976;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;71.0;75.0;200.0;33.0;2;0;4;14;0.44
Madrid, Community of Madrid 28004, Spain;;Madrid;28004;Spain;40.419328752345805;-3.7061847753517454;Apartment;Entire home/apt;4;1.0;0.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;409.0;68.0;;;1;0;3;34;0.89
Sol, Madrid, Madrid 28013, Spain;Sol;Madrid;28013;Spain;40.41790029403899;-3.708193262992279;Apartment;Entire home/apt;6;2.0;2.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Fire extinguisher;100.0;90.0;100.0;60.0;1;0;2;3;0.15
Malasaña, Madrid, Madrid 28015, Spain;Malasaña;Madrid;28015;Spain;40.42454050385355;-3.7114950266858817;Apartment;Entire home/apt;2;1.0;;1.0;Pull-out Sofa;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Washer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;323.0;40.0;;;1;0;5;26;0.61
Castilla, Madrid, Madrid 28046, Spain;Castilla;Madrid;28046;Spain;40.47298062293405;-3.686765887783816;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Dryer;603.0;95.0;;40.0;1;0;5;1;0.04
Malasaña, Madrid, Madrid 28004, Spain;Malasaña;Madrid;28004;Spain;40.42408451049312;-3.703803594048604;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;40.0;81.0;200.0;32.0;2;11;4;13;0.44
Almenara, Madrid, Community of Madrid 28029, Spain;Almenara;Madrid;28029;Spain;40.47220850248359;-3.6934401368297984;Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron;484.0;52.0;150.0;;2;0;2;5;0.13
Usera, Madrid, Comunidad de Madrid 28026, Spain;Usera;Madrid;28026;Spain;40.38241249868528;-3.703331148372874;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Air conditioning,Kitchen,Smoking allowed,Heating,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;538.0;40.0;200.0;40.0;1;0;5;13;0.57
La Latina, Madrid, Community of Madrid 28012, Spain;La Latina;Madrid;28012;Spain;40.413658899207725;-3.706430694391853;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;753.0;90.0;;50.0;2;20;3;41;0.94
Valdeacederas, Madrid, Community of Madrid 28039, Spain;Valdeacederas;Madrid;28039;Spain;40.462213021618105;-3.6995334085011455;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo;646.0;30.0;90.0;;1;15;1;0;
Cortes, Madrid, Madrid 28012, Spain;Cortes;Madrid;28012;Spain;40.41440042735622;-3.701255902498677;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hair dryer,Iron;388.0;59.0;100.0;;2;10;3;34;0.57
Justicia, Madrid, Community of Madrid 28004, Spain;Justicia;Madrid;28004;Spain;40.42173133623417;-3.700142207828704;Apartment;Entire home/apt;3;1.0;0.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;484.0;53.0;95.0;10.0;1;10;2;269;4.79
Adelfas, Madrid, Community of Madrid 28007, Spain;Adelfas;Madrid;28007;Spain;40.39911529859405;-3.6700713824695015;House;Entire home/apt;6;1.5;2.0;6.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;753.0;60.0;100.0;;2;15;3;128;2.47
Hispanoamérica, Madrid, Madrid 28016, Spain;Hispanoamérica;Madrid;28016;Spain;40.45317807854519;-3.671913128150125;Chalet;Private room;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Dog(s),Buzzer/wireless intercom,Heating,Washer,Dryer,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;172.0;48.0;90.0;10.0;1;30;2;46;0.77
Goya, Madrid, Comunidad de Madrid 28006, Spain;Goya;Madrid;28006;Spain;40.42774386657507;-3.6745645151225954;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;969.0;94.0;200.0;30.0;1;0;2;67;4.33
Guindalera, Madrid, Madrid 28028, Spain;Guindalera;Madrid;28028;Spain;40.4339652076968;-3.663201211073243;Chalet;Private room;6;1.0;1.0;5.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Doorman,Gym,Elevator in building,Hot tub,Indoor fireplace,Buzzer/wireless intercom,Heating,Washer;431.0;130.0;100.0;50.0;1;25;1;0;
Ciudad Lineal, Madrid, Madrid 28033, Spain;Ciudad Lineal;Madrid;28033;Spain;40.46212591653067;-3.662214560589263;Dorm;Private room;1;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Free parking on premises,Pets live on this property,Cat(s),Heating,Washer;1615.0;40.0;;;1;0;5;0;
Pacifico, Madrid, Comunidad de Madrid 28007, Spain;Pacifico;Madrid;28007;Spain;40.407506116244406;-3.675258019339827;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Doorman,Breakfast,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;969.0;120.0;;30.0;4;10;1;14;0.38
Embajadores, Madrid, Community of Madrid 28012, Spain;Embajadores;Madrid;28012;Spain;40.41147080824437;-3.6987521358046656;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,Hangers,Hair dryer,Iron;807.0;90.0;250.0;35.0;3;0;2;131;2.67
Lista, Madrid, Madrid 28006, Spain;Lista;Madrid;28006;Spain;40.43030309039051;-3.671761685954127;Apartment;Entire home/apt;9;2.0;4.0;8.0;Real Bed;TV,Internet,Wireless Internet,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo;1076.0;120.0;;20.0;8;20;1;40;1.25
Cortes, Madrid, Comunidad de Madrid 28012, Spain;Cortes;Madrid;28012;Spain;40.4136502253066;-3.70071767299977;Apartment;Entire home/apt;4;1.0;1.0;4.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Shampoo,Hair dryer,Iron;420.0;59.0;100.0;;2;10;3;6;0.13
Madrid, Community of Madrid 28013, Spain;;Madrid;28013;Spain;40.41669928513733;-3.7037080951506742;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Essentials,Hangers,Hair dryer,Iron;646.0;75.0;200.0;45.0;2;15;2;118;2.57
Chamberí, Madrid, Community of Madrid 28015, Spain;Chamberí;Madrid;28015;Spain;40.43116361945189;-3.7128692652184094;Loft;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials;646.0;49.0;;30.0;1;0;2;108;2.81
Almenara, Madrid, Madrid 28029, Spain;Almenara;Madrid;28029;Spain;40.47148773476317;-3.691281559202837;Loft;Entire home/apt;4;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron;484.0;52.0;150.0;;1;0;2;1;0.04
Cortes, Madrid, Madrid 28014, Spain;Cortes;Madrid;28014;Spain;40.4147641565847;-3.6936327704425937;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;55.0;86.0;200.0;32.0;2;11;4;3;0.18
Retiro, Madrid, Community of Madrid 28014, Spain;Retiro;Madrid;28014;Spain;40.40667567544147;-3.678839158320103;Apartment;Entire home/apt;6;1.0;3.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Outlet covers,Baby bath,High chair,Children’s books and toys,Table corner guards,Crib,Room-darkening shades;807.0;91.0;100.0;40.0;1;0;4;90;1.93
Aluche, Madrid, Madrid 28011, Spain;Aluche;Madrid;28011;Spain;40.40915441031413;-3.724158374521194;Apartment;Private room;6;2.0;1.0;7.0;Real Bed;TV,Internet,Wireless Internet,Free parking on premises,Elevator in building,Heating,Family/kid friendly,Washer,Dryer;2691.0;20.0;;12.0;1;15;2;39;0.57
El Viso, Madrid, Madrid 28002, Spain;El Viso;Madrid;28002;Spain;40.44370974436937;-3.683187289297977;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Pets allowed,Doorman,Elevator in building,Hot tub,Heating,Family/kid friendly,Washer;431.0;55.0;150.0;40.0;1;0;7;5;0.09
